SKU_ID,SKU_Name,Supplier_ID,Current_Stock,Reorder_Point,Safety_Stock,Max_Stock,Unit_Cost_USD,Carrying_Cost_Pct,Avg_Daily_Demand,Lead_Time_Days,Days_Of_Supply,Stock_Status,Annual_Carrying_Cost_USD,Stockout_Cost_Per_Day_USD
SKU00001,Electronic Control Unit,SUP0001,98,261,154,1668,4954.48,0.18,7.0,23,14.0,Critical,87397.03,2199.1
SKU00002,Steel Bracket Assembly,SUP0002,92,342,91,1959,4815.43,0.29,35.4,22,2.6,Low,128475.67,5349.07
SKU00003,Textile Roll 50m,SUP0003,887,406,20,1302,935.29,0.19,29.4,20,30.2,Healthy,157624.42,9158.64
SKU00004,Plastic Housing Unit,SUP0004,349,234,90,1253,1398.24,0.28,31.0,34,11.3,Healthy,136636.01,5618.34
SKU00005,Chemical Solution 20L,SUP0005,87,321,81,1035,3831.45,0.16,12.4,39,7.0,Low,53333.78,2634.25
SKU00006,Auto Part Gear Box,SUP0006,517,153,60,808,2161.15,0.18,33.7,14,15.3,Healthy,201116.62,3429.34
SKU00007,Furniture Panel Set,SUP0007,832,278,168,1619,4756.6,0.2,5.9,41,141.0,Healthy,791498.24,6715.32
SKU00008,Industrial Motor 5HP,SUP0008,151,97,69,1250,307.82,0.21,42.7,40,3.5,Healthy,9760.97,9118.62
SKU00009,Circuit Board Assembly,SUP0009,299,210,118,1780,1059.53,0.22,3.5,25,85.4,Healthy,69695.88,2503.55
SKU00010,Hydraulic Pump Unit,SUP0010,871,345,63,1240,2726.43,0.18,30.3,32,28.7,Healthy,427449.7,4253.07
SKU00011,Valve Assembly Kit,SUP0011,218,498,190,1304,1054.59,0.21,13.0,32,16.8,Low,48279.13,4180.73
SKU00012,Bearing Set Heavy Duty,SUP0012,161,102,140,1307,4837.56,0.17,38.7,29,4.2,Healthy,132404.02,9474.48
SKU00013,Cable Harness 10m,SUP0013,319,408,123,1746,255.02,0.27,14.9,45,21.4,Low,21964.87,3172.23
SKU00014,Filter Assembly Unit,SUP0014,92,91,181,1387,4037.0,0.19,42.8,28,2.1,Critical,70566.76,8655.25
SKU00015,Sensor Module Kit,SUP0015,234,398,28,694,314.7,0.29,5.8,40,40.3,Low,21355.54,2731.25
SKU00016,Power Supply Unit,SUP0016,183,242,130,794,2625.57,0.2,16.6,18,11.0,Low,96095.86,3255.99
SKU00017,Compressor Assembly,SUP0017,650,51,156,1178,2274.04,0.29,42.8,38,15.2,Healthy,428656.54,1946.5
SKU00018,Heat Exchanger Unit,SUP0018,77,344,110,713,3172.94,0.23,26.8,19,2.9,Critical,56192.77,845.66
SKU00019,Gasket Set Complete,SUP0019,765,424,126,589,3701.47,0.27,10.0,38,76.5,Excess,764538.63,8964.6
SKU00020,Seal Kit Assembly,SUP0020,605,201,127,536,3189.34,0.22,31.0,35,19.5,Excess,424501.15,2392.89
